Parâmetros;20/04/2021;08/06/2021;08/09/2021;09/12/2021;23/03/2022;01/06/2022;08/09/2022;06/12/2022
Temperatura do Ar (°C);26;25;25;28;27;25;28;30
Temperatura da Água (°C);23;21;22;28;26;22;26;27
pH;7;6,87;7,03;7,08;6,76;6,95;7,1;7,5
Condutividade Elétrica (µS/cm);62;61,7;63,7;79,4;70,9;47,8;54;64,1
Cloreto (mgCl/L);8,8;8,43;9,21;17,78;16,74;9,61;8,05;9,73
OD (mg O2/L);7;7,69;7,09;7,45;6,18;7,1;7,66;6,89
DBO (mg O2/L);0,8;0,61;0,75;0,33;0,85;0,52;0,43;1,37
Coliformes Termotolerantes (NMP/100mL);680;>160000;2300;47150;92000;4900;13000;2300
Salinidade;0;0;0;0;0;0;0;0
Cor Verdadeira (uH);100;48;50;125;110;50;50;50
Turbidez (uT);10;5;5;5;25;20;15;10
Nitrato (mg/L);0,08;0,08;0,12;0,08;0,08;0,08;0,08;0,08
Nitrito (mg/L);0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
Sólidos Totais (mg/L);33;41;48;84,41;102;72;40;51
Clorofila (µg/L);1,07;0,41;0,001;0,72;10,69;2,49;1,5;1,5
Alcalinidade (mg/L);14;11,79;12,1;13,79;11,75;11,14;9,81;13,49
Sólidos Suspensos (mg/L);2;2;7;0,2;15,2;3,2;3,4;4,6
Sólidos Dissolvidos (mg/L);31;39;41;84,2;86,8;68,8;36,6;46,4
Fósforo Solúvel (mg/L);0,05;0,03;0,332;0,03;0,03;0,03;0,03;0,03
OD de Saturação (%);82;86;81;95;76;116;95;87
DQO;<25;<25;<25;32,28;<25;<25;<25;<25
IET Valor*;51;42;24;48;71;58;54;54
Pluviometria (mm);181,9;71,4;57,7;88,8;215,7;226,2;39;154,9
;;;;;;;;
